id,set_count,name,parent_id
158,753,Star Wars,
501,656,Gear,
494,398,Friends,
435,356,Ninjago,
503,329,Key Chain,501.0
505,328,Basic Set,504.0
497,310,Books,
632,299,Town,504.0
371,273,Supplemental,365.0
516,248,Duplo and Explore,507.0
443,197,Service Packs,
672,169,Creator 3-in-1,22.0
1,167,Technic,
504,165,Duplo,
61,145,Police,52.0
453,142,Technic,443.0
408,126,LEGO Brand Store,
254,126,Bulk Bricks,
409,124,Monthly Mini Model Build,408.0
37,121,Basic Set,22.0
52,115,City,50.0
227,112,Christmas,206.0
605,110,Nexo Knights,
467,107,Basic,465.0
390,105,Fabuland,
525,104,Technic,524.0
462,101,Soccer,458.0
246,100,Harry Potter,
610,100,Brickheadz,
473,99,Supplemental,465.0
571,90,Legends of Chima,
130,89,Classic Space,126.0
469,82,Basic Set,465.0
58,80,Fire,52.0
22,80,Creator,
500,77,Clikits,
324,76,Bionicle,
468,76,Basic Model,465.0
697,74,Batman,695.0
668,73,Scala,
456,73,Train,443.0
507,72,Educational and Dacta,
650,72,Legoville,632.0
598,71,Promotional,
120,70,Tiny Turbos,112.0
7,70,Construction,5.0
198,70,Knights Kingdom II,186.0
604,68,Dimensions,
85,64,Traffic,67.0
82,64,Race,67.0
502,64,Game,501.0
579,64,Disney Princess,
399,62,Freestyle,
524,62,Service Packs,507.0
235,61,4.5V,233.0
634,61,Trains,504.0
301,60,Other,
577,60,Minecraft,
56,57,Construction,52.0
702,57,Avengers,696.0
652,54,Playhouse,504.0
273,53,Studios,
116,52,Power Racers,112.0
706,52,Spider-Man,696.0
673,52,Creator Expert,22.0
425,51,Legoland Parks,
63,49,Traffic,52.0
599,48,LEGO Exclusive,
389,47,Exo-Force,
609,46,The LEGO Batman Movie,535.0
621,46,Classic,
470,46,Classic Basic,465.0
696,46,Super Heroes Marvel,
259,44,NXT,258.0
148,44,Pirates I,147.0
401,44,Heroes,400.0
319,43,Fairy-Tale,318.0
601,43,Speed Champions,
113,43,Drome Racers,112.0
708,43,The LEGO Batman Movie,697.0
238,43,My Own Train,236.0
416,42,Construction,411.0
600,42,Elves,
204,42,Designer Sets,
252,42,Architecture,
365,41,System,
670,41,The LEGO Movie II,578.0
68,41,Airport,67.0
602,40,Jurassic World,
535,39,Collectible Minifigures,
372,39,Town Plan,365.0
4,39,Expert Builder,1.0
171,38,Ultimate Collector Series,158.0
80,37,Police,67.0
12,37,Race,5.0
206,37,Seasonal,
423,37,Vehicle,411.0
236,37,9V,233.0
11,36,Off-Road,5.0
695,35,Super Heroes DC,
459,35,Basketball,458.0
576,34,LEGO Ideas and CUUSOO,
53,34,Airport,52.0
74,33,Fire,67.0
403,33,Villains,400.0
533,33,Town,507.0
398,32,FIRST LEGO League,
72,32,Construction,67.0
405,32,Homemaker,
114,32,Ferrari,112.0
676,32,Hidden Side,
690,31,Super Mario,
626,31,Bob the Builder,504.0
434,31,Ninja,
591,30,Juniors,
229,30,Easter,206.0
364,30,Building Set with People,
84,30,Supplemental,67.0
578,30,The LEGO Movie,
616,30,Ninjago The Movie,435.0
347,29,Titans,324.0
410,29,Pick A Model,408.0
16,29,RoboRiders,1.0
242,29,12V,241.0
280,28,Jack Stone,279.0
674,28,Early Creator,22.0
193,28,Fantasy Era,186.0
13,28,Riding Cycle,5.0
300,28,Orient Expedition,296.0
572,27,Speedorz,571.0
366,27,Basic Set,365.0
400,27,Hero Factory,
66,27,Trains,52.0
529,27,Technic,507.0
269,27,Cars,
135,26,Life On Mars,126.0
625,26,Unikitty!,
297,26,Desert,296.0
656,25,Harry Potter and Fantastic Beasts Series 1,535.0
243,25,4.5V,241.0
344,25,Rahkshi,324.0
315,24,Atlantis,
675,24,The LEGO Movie Series II,535.0
186,24,Castle,
55,24,Coast Guard,52.0
478,24,X-Pod,
6,24,Airport,5.0
562,23,The Hobbit,561.0
439,23,Power Miners,
618,23,Ninjago The Movie,535.0
234,23,12V,233.0
228,23,Creator,227.0
197,23,Knights Kingdom I,186.0
555,22,Disney Series 1,535.0
93,22,Space Port,50.0
413,22,Building,411.0
260,22,RCX,258.0
677,22,Disney Series 2,535.0
48,22,Supplemental,22.0
279,22,4 Juniors,
412,21,Airport,411.0
87,21,Extreme Team,50.0
570,21,Teenage Mutant Ninja Turtles,
663,21,Rattles,504.0
363,21,Boat,
275,21,Toy Story,
21,21,Universal Building Set,1.0
685,20,Galidor,
76,20,Station,67.0
323,20,Recreation,318.0
549,20,The LEGO Movie Series,535.0
622,20,Series 18 Minifigures,535.0
545,20,Series 10 Minifigures,535.0
199,20,Lion Knights,186.0
83,20,Recreation,67.0
528,20,Supplemental,507.0
554,19,Series 15 Minifigures,535.0
691,19,Harry Potter and Fantastic Beasts Series 2,535.0
692,19,Series 20 Minifigures,535.0
543,19,Series 8 Minifigures,535.0
480,19,Znap,
506,19,Cars,504.0
230,19,Halloween,206.0
65,19,Arctic,52.0
684,19,DC Super Heroes,535.0
438,19,Power Functions,
144,19,UFO,126.0
134,19,Insectoids,126.0
541,19,Series 6 Minifigures,535.0
540,19,Series 5 Minifigures,535.0
681,19,Series 19 Minifigures,535.0
552,19,Series 14 Minifigures,535.0
611,19,Series 17 Minifigures,535.0
557,19,DFB Minifigures,535.0
539,19,Series 4 Minifigures,535.0
538,19,Series 3 Minifigures,535.0
137,19,Mars Mission,126.0
537,19,Series 2 Minifigures,535.0
536,19,Series 1 Minifigures,535.0
544,19,Series 9 Minifigures,535.0
547,19,Series 11 Minifigures,535.0
550,19,The Simpsons,535.0
548,19,Series 12 Minifigures,535.0
551,19,Series 13 Minifigures,535.0
553,19,The Simpsons Series 2,535.0
298,19,Dino Island,296.0
542,19,Series 7 Minifigures,535.0
264,19,Indiana Jones,
132,19,Futuron,126.0
433,18,Minitalia,
635,18,Winnie the Pooh,504.0
556,18,Series 16 Minifigures,535.0
3,18,Competition,1.0
631,18,Thomas & Friends,504.0
619,18,Cities of Wonders,408.0
688,18,DOTS,
521,18,WeDo,518.0
90,18,Paradisa,50.0
534,17,Universal Building Set,507.0
646,17,Xtra,
566,17,The Lord of the Rings,561.0
305,17,Mission Deep Sea,304.0
432,17,Master Building Academy,
20,17,Throwbot Slizer,1.0
461,17,Hockey,458.0
263,17,Pirates of the Caribbean,
359,17,Warriors,324.0
442,17,Rock Raiders,
59,17,Harbor,52.0
141,17,Space Police III,126.0
658,16,Dino,504.0
77,16,Harbor,67.0
700,16,Justice League,695.0
208,16,City,207.0
278,16,Model Team,
15,16,Traffic,5.0
33,16,Food & Drink,23.0
195,16,Fright Knights,186.0
78,16,Hospital,67.0
91,16,Race,50.0
196,16,Kingdoms,186.0
155,16,Modular Buildings,
532,16,Supplemental,529.0
125,16,Xalax,112.0
303,15,Ultra Agents,302.0
60,15,Hospital,52.0
661,15,Little Robots,504.0
143,15,Supplemental,126.0
357,15,Vahki,324.0
471,15,Ferries,465.0
239,14,World City,236.0
440,14,Primo,
244,14,9V,241.0
188,14,Black Knights,186.0
558,14,Monster Fighters,
69,14,Building,67.0
466,14,Airport,465.0
262,14,EV3,258.0
129,14,Blacktron II,126.0
119,14,Supplemental,112.0
50,14,Town,
272,14,SpongeBob SquarePants,
454,14,Town,443.0
322,14,Playhouse,318.0
19,14,Supplemental,1.0
75,14,Food & Drink,67.0
302,13,Agents,
348,13,Toa,324.0
328,13,Bohrok,324.0
367,13,Building,365.0
584,13,Series 4,580.0
641,13,Disney's Mickey Mouse,504.0
664,13,Toolo,504.0
117,13,Radio Control,112.0
335,13,Matoran of Mata Nui,324.0
106,13,Airport,105.0
407,13,Island Xtreme Stunts,
253,13,Skylines,252.0
647,13,Castle,504.0
693,13,Monkie Kid,
356,13,Turaga,324.0
417,13,Fire,411.0
573,13,Constraction,571.0
341,13,Playsets,324.0
476,13,Cowboys,475.0
386,13,Dinosaurs,
452,12,Space,443.0
546,12,Team GB,535.0
70,12,Cargo,67.0
378,12,Traffic,373.0
586,12,Series 6,580.0
683,12,LEGO Originals,
146,12,Galaxy Squad,126.0
86,12,Divers,50.0
5,12,Model,1.0
617,12,DC Super Hero Girls,
640,12,Disney Princess,504.0
669,11,Overwatch,
133,11,Ice Planet 2002,126.0
353,11,Toa Metru,324.0
460,11,Gravity Games,458.0
679,11,Mars Exploration,52.0
636,11,My Town,632.0
112,11,Racers,
687,11,Frozen II,608.0
51,11,Arctic,50.0
441,11,Quatro,
103,11,Traffic,94.0
346,11,Supplemental,324.0
18,11,Star Wars,1.0
329,11,Bohrok Va,324.0
153,11,Pirates II,147.0
57,11,Farm,52.0
451,11,Scala,443.0
100,10,Police,94.0
67,10,Classic Town,50.0
92,10,Res-Q,50.0
299,10,Jungle,296.0
209,10,Star Wars,207.0
127,10,Alien Conquest,126.0
660,10,Little Forest Friends,504.0
665,10,Western,504.0
421,10,Police,411.0
704,10,Guardians of the Galaxy,696.0
142,9,Spyrius,126.0
154,9,Pirates III,147.0
587,9,Series 7,580.0
582,9,Series 2,580.0
583,9,Series 3,580.0
585,9,Series 5,580.0
588,9,Series 8,580.0
581,9,Series 1,580.0
589,9,Series 9,580.0
682,9,Trolls: World Tour,
79,9,Off-Road,67.0
614,9,Jungle,52.0
603,9,Scooby-Doo,
327,9,Battle Vehicles,324.0
310,9,Aquaraiders II,307.0
216,9,Friends,207.0
136,9,M:Tron,126.0
464,9,Time Cruisers,
420,9,Hospital,411.0
131,9,Exploriens,126.0
201,9,Royal Knights,186.0
437,9,Pharaoh's Quest,
472,9,Gears,465.0
657,9,Action Wheelers,504.0
123,9,World Racers,112.0
404,9,Hobby Sets,
231,8,Thanksgiving,206.0
608,8,Disney,
705,8,Iron Man,696.0
575,8,The Lone Ranger,
350,8,Toa Hordika,324.0
615,8,Cars,591.0
23,8,Basic Model,22.0
354,8,Toa Nuva,324.0
10,8,Harbor,5.0
498,8,Technic,497.0
477,8,Indians,475.0
